"Country or Area";"Commodity - Transaction";"Year";"Unit";"Quantity";"Quantity Footnotes"
"Aruba";"Conventional crude oil - imports";"1997";"Metric tons,  thousand";"321";"1"
"Aruba";"Conventional crude oil - imports";"1996";"Metric tons,  thousand";"315";"1"
"Aruba";"Conventional crude oil - imports";"1995";"Metric tons,  thousand";"312";"1"
"Aruba";"Conventional crude oil - imports";"1994";"Metric tons,  thousand";"310";"1"
"Aruba";"Conventional crude oil - imports";"1993";"Metric tons,  thousand";"308";"1"
"Aruba";"Conventional crude oil - imports";"1992";"Metric tons,  thousand";"302";"1"
"Aruba";"Conventional crude oil - imports";"1991";"Metric tons,  thousand";"375";"1"
"Aruba";"Conventional crude oil - imports";"1990";"Metric tons,  thousand";"375";"1"
"Australia";"Conventional crude oil - imports";"2014";"Metric tons,  thousand";"21835";""
"Australia";"Conventional crude oil - imports";"2013";"Metric tons,  thousand";"23348";""
"Australia";"Conventional crude oil - imports";"2012";"Metric tons,  thousand";"23340";""
"Australia";"Conventional crude oil - imports";"2011";"Metric tons,  thousand";"25045";""
"Australia";"Conventional crude oil - imports";"2010";"Metric tons,  thousand";"21145";""
"Australia";"Conventional crude oil - imports";"2009";"Metric tons,  thousand";"19047";""
"Australia";"Conventional crude oil - imports";"2008";"Metric tons,  thousand";"20410";""
"Australia";"Conventional crude oil - imports";"2007";"Metric tons,  thousand";"19678";""
"Australia";"Conventional crude oil - imports";"2006";"Metric tons,  thousand";"18837";""
"Australia";"Conventional crude oil - imports";"2005";"Metric tons,  thousand";"20070";""
"Australia";"Conventional crude oil - imports";"2004";"Metric tons,  thousand";"17958";""
"Australia";"Conventional crude oil - imports";"2003";"Metric tons,  thousand";"20282";""
"Australia";"Conventional crude oil - imports";"2002";"Metric tons,  thousand";"21152";""
"Australia";"Conventional crude oil - imports";"2001";"Metric tons,  thousand";"21153";""
"Australia";"Conventional crude oil - imports";"2000";"Metric tons,  thousand";"20138";""
"Australia";"Conventional crude oil - imports";"1999";"Metric tons,  thousand";"22421";""
"Australia";"Conventional crude oil - imports";"1998";"Metric tons,  thousand";"17806";""
"Australia";"Conventional crude oil - imports";"1997";"Metric tons,  thousand";"17770";""
"Australia";"Conventional crude oil - imports";"1996";"Metric tons,  thousand";"15002";""
"Australia";"Conventional crude oil - imports";"1995";"Metric tons,  thousand";"13415";""
"Australia";"Conventional crude oil - imports";"1994";"Metric tons,  thousand";"12726";""
"Australia";"Conventional crude oil - imports";"1993";"Metric tons,  thousand";"10445";""
"Australia";"Conventional crude oil - imports";"1992";"Metric tons,  thousand";"7980";""
"Australia";"Conventional crude oil - imports";"1991";"Metric tons,  thousand";"6427";""
"Australia";"Conventional crude oil - imports";"1990";"Metric tons,  thousand";"6039";""
"Austria";"Conventional crude oil - imports";"2014";"Metric tons,  thousand";"7510";""
"Austria";"Conventional crude oil - imports";"2013";"Metric tons,  thousand";"7778";""
"Austria";"Conventional crude oil - imports";"2012";"Metric tons,  thousand";"7473";""
"Austria";"Conventional crude oil - imports";"2011";"Metric tons,  thousand";"7293";""
"Austria";"Conventional crude oil - imports";"2010";"Metric tons,  thousand";"6795";""
"Austria";"Conventional crude oil - imports";"2009";"Metric tons,  thousand";"7424";""
"Austria";"Conventional crude oil - imports";"2008";"Metric tons,  thousand";"7864";""
"Austria";"Conventional crude oil - imports";"2007";"Metric tons,  thousand";"7591";""
"Austria";"Conventional crude oil - imports";"2006";"Metric tons,  thousand";"7699";""
"Austria";"Conventional crude oil - imports";"2005";"Metric tons,  thousand";"7833";""
"Austria";"Conventional crude oil - imports";"2004";"Metric tons,  thousand";"7562";""
"Austria";"Conventional crude oil - imports";"2003";"Metric tons,  thousand";"7819";""
"Austria";"Conventional crude oil - imports";"2002";"Metric tons,  thousand";"8118";""
"Austria";"Conventional crude oil - imports";"2001";"Metric tons,  thousand";"7940";""
"Austria";"Conventional crude oil - imports";"2000";"Metric tons,  thousand";"7314";""
"Austria";"Conventional crude oil - imports";"1999";"Metric tons,  thousand";"7698";""
"Austria";"Conventional crude oil - imports";"1998";"Metric tons,  thousand";"8269";""
"Austria";"Conventional crude oil - imports";"1997";"Metric tons,  thousand";"8450";""
"Austria";"Conventional crude oil - imports";"1996";"Metric tons,  thousand";"7737";""
"Austria";"Conventional crude oil - imports";"1995";"Metric tons,  thousand";"7590";""
"Austria";"Conventional crude oil - imports";"1994";"Metric tons,  thousand";"7790";""
"Austria";"Conventional crude oil - imports";"1993";"Metric tons,  thousand";"7453";""
"Austria";"Conventional crude oil - imports";"1992";"Metric tons,  thousand";"7550";""
"Austria";"Conventional crude oil - imports";"1991";"Metric tons,  thousand";"7000";""
"Austria";"Conventional crude oil - imports";"1990";"Metric tons,  thousand";"6797";""
"Azerbaijan";"Conventional crude oil - imports";"2009";"Metric tons,  thousand";"1";""
"Azerbaijan";"Conventional crude oil - imports";"2008";"Metric tons,  thousand";"0";""
"Azerbaijan";"Conventional crude oil - imports";"2007";"Metric tons,  thousand";"0";""
"Azerbaijan";"Conventional crude oil - imports";"2006";"Metric tons,  thousand";"0";""
"Azerbaijan";"Conventional crude oil - imports";"2005";"Metric tons,  thousand";"0";""
"Azerbaijan";"Conventional crude oil - imports";"2004";"Metric tons,  thousand";"0";""
"Azerbaijan";"Conventional crude oil - imports";"2003";"Metric tons,  thousand";"0";""
"Azerbaijan";"Conventional crude oil - imports";"2002";"Metric tons,  thousand";"0";""
"Azerbaijan";"Conventional crude oil - imports";"2001";"Metric tons,  thousand";"0";""
"Azerbaijan";"Conventional crude oil - imports";"2000";"Metric tons,  thousand";"0";""
"Azerbaijan";"Conventional crude oil - imports";"1999";"Metric tons,  thousand";"0";""
"Azerbaijan";"Conventional crude oil - imports";"1998";"Metric tons,  thousand";"91";""
"Azerbaijan";"Conventional crude oil - imports";"1997";"Metric tons,  thousand";"261";""
"Azerbaijan";"Conventional crude oil - imports";"1996";"Metric tons,  thousand";"0";""
"Azerbaijan";"Conventional crude oil - imports";"1995";"Metric tons,  thousand";"42";""
"Azerbaijan";"Conventional crude oil - imports";"1994";"Metric tons,  thousand";"853";""
"Azerbaijan";"Conventional crude oil - imports";"1993";"Metric tons,  thousand";"1159";""
"Azerbaijan";"Conventional crude oil - imports";"1992";"Metric tons,  thousand";"1516";""
"Bahrain";"Conventional crude oil - imports";"2014";"Metric tons,  thousand";"10385";""
"Bahrain";"Conventional crude oil - imports";"2013";"Metric tons,  thousand";"10735";""
"Bahrain";"Conventional crude oil - imports";"2012";"Metric tons,  thousand";"10951";""
"Bahrain";"Conventional crude oil - imports";"2011";"Metric tons,  thousand";"10828";""
"Bahrain";"Conventional crude oil - imports";"2010";"Metric tons,  thousand";"11702";""
"Bahrain";"Conventional crude oil - imports";"2009";"Metric tons,  thousand";"11188";""
"Bahrain";"Conventional crude oil - imports";"2008";"Metric tons,  thousand";"11324";""
"Bahrain";"Conventional crude oil - imports";"2007";"Metric tons,  thousand";"11354";""
"Bahrain";"Conventional crude oil - imports";"2006";"Metric tons,  thousand";"11169";""
"Bahrain";"Conventional crude oil - imports";"2005";"Metric tons,  thousand";"11456";""
"Bahrain";"Conventional crude oil - imports";"2004";"Metric tons,  thousand";"10855";""
"Bahrain";"Conventional crude oil - imports";"2003";"Metric tons,  thousand";"3283";""
"Bahrain";"Conventional crude oil - imports";"2002";"Metric tons,  thousand";"3174";""
"Bahrain";"Conventional crude oil - imports";"2001";"Metric tons,  thousand";"2883";""
"Bahrain";"Conventional crude oil - imports";"2000";"Metric tons,  thousand";"3519";""
"Bahrain";"Conventional crude oil - imports";"1999";"Metric tons,  thousand";"4015";""
"Bahrain";"Conventional crude oil - imports";"1998";"Metric tons,  thousand";"2997";""
"Bahrain";"Conventional crude oil - imports";"1997";"Metric tons,  thousand";"3213";""
"Bahrain";"Conventional crude oil - imports";"1996";"Metric tons,  thousand";"11049";""
"Bahrain";"Conventional crude oil - imports";"1995";"Metric tons,  thousand";"10536";""
"Bahrain";"Conventional crude oil - imports";"1994";"Metric tons,  thousand";"10218";""
"Bahrain";"Conventional crude oil - imports";"1993";"Metric tons,  thousand";"10303";""
"Bahrain";"Conventional crude oil - imports";"1992";"Metric tons,  thousand";"10938";""
"Bahrain";"Conventional crude oil - imports";"1991";"Metric tons,  thousand";"10650";""
"Bahrain";"Conventional crude oil - imports";"1990";"Metric tons,  thousand";"10335";"1"
"Bangladesh";"Conventional crude oil - imports";"2014";"Metric tons,  thousand";"1308";""
"Bangladesh";"Conventional crude oil - imports";"2013";"Metric tons,  thousand";"1183";""
"Bangladesh";"Conventional crude oil - imports";"2012";"Metric tons,  thousand";"1266";""
"Bangladesh";"Conventional crude oil - imports";"2011";"Metric tons,  thousand";"1211";""
"Bangladesh";"Conventional crude oil - imports";"2010";"Metric tons,  thousand";"1275";""
"Bangladesh";"Conventional crude oil - imports";"2009";"Metric tons,  thousand";"1039";""
"Bangladesh";"Conventional crude oil - imports";"2008";"Metric tons,  thousand";"1040";""
"Bangladesh";"Conventional crude oil - imports";"2007";"Metric tons,  thousand";"1211";""
"Bangladesh";"Conventional crude oil - imports";"2006";"Metric tons,  thousand";"1253";""
"Bangladesh";"Conventional crude oil - imports";"2005";"Metric tons,  thousand";"1063";""
"Bangladesh";"Conventional crude oil - imports";"2004";"Metric tons,  thousand";"1252";""
"Bangladesh";"Conventional crude oil - imports";"2003";"Metric tons,  thousand";"1335";""
"Bangladesh";"Conventional crude oil - imports";"2002";"Metric tons,  thousand";"1276";""
"Bangladesh";"Conventional crude oil - imports";"2001";"Metric tons,  thousand";"1403";""
"Bangladesh";"Conventional crude oil - imports";"2000";"Metric tons,  thousand";"1290";""
"Bangladesh";"Conventional crude oil - imports";"1999";"Metric tons,  thousand";"1190";""
"Bangladesh";"Conventional crude oil - imports";"1998";"Metric tons,  thousand";"1144";""
"Bangladesh";"Conventional crude oil - imports";"1997";"Metric tons,  thousand";"1343";""
