"Country or Area";"Commodity - Transaction";"Year";"Unit";"Quantity";"Quantity Footnotes"
"Australia";"Natural gas (including LNG) - exports";"2011";"Terajoules";"1085657";""
"Australia";"Natural gas (including LNG) - exports";"2010";"Terajoules";"971908";""
"Australia";"Natural gas (including LNG) - exports";"2009";"Terajoules";"838297";""
"Australia";"Natural gas (including LNG) - exports";"2008";"Terajoules";"744095";""
"Australia";"Natural gas (including LNG) - exports";"2007";"Terajoules";"779676";""
"Australia";"Natural gas (including LNG) - exports";"2006";"Terajoules";"654390";""
"Australia";"Natural gas (including LNG) - exports";"2005";"Terajoules";"576035";""
"Australia";"Natural gas (including LNG) - exports";"2004";"Terajoules";"430514";""
"Australia";"Natural gas (including LNG) - exports";"2003";"Terajoules";"425758";""
"Australia";"Natural gas (including LNG) - exports";"2002";"Terajoules";"413421";""
"Australia";"Natural gas (including LNG) - exports";"2001";"Terajoules";"409637";""
"Australia";"Natural gas (including LNG) - exports";"2000";"Terajoules";"431027";""
"Australia";"Natural gas (including LNG) - exports";"1999";"Terajoules";"425366";""
"Australia";"Natural gas (including LNG) - exports";"1998";"Terajoules";"416151";""
"Australia";"Natural gas (including LNG) - exports";"1997";"Terajoules";"401300";""
"Australia";"Natural gas (including LNG) - exports";"1996";"Terajoules";"411650";""
"Australia";"Natural gas (including LNG) - exports";"1995";"Terajoules";"384046";""
"Australia";"Natural gas (including LNG) - exports";"1994";"Terajoules";"320737";""
"Australia";"Natural gas (including LNG) - exports";"1993";"Terajoules";"276606";""
"Australia";"Natural gas (including LNG) - exports";"1992";"Terajoules";"235400";""
"Australia";"Natural gas (including LNG) - exports";"1991";"Terajoules";"185000";""
"Australia";"Natural gas (including LNG) - exports";"1990";"Terajoules";"109300";""
"Austria";"Natural gas (including LNG) - exports";"2014";"Terajoules";"96661";""
"Austria";"Natural gas (including LNG) - exports";"2013";"Terajoules";"151273";""
"Austria";"Natural gas (including LNG) - exports";"2012";"Terajoules";"243589";""
"Austria";"Natural gas (including LNG) - exports";"2011";"Terajoules";"138898";""
