LOCATION,SUBJECT,TIME,Value
AUT,MFG,1975,33.50894
AUT,MFG,1976,36.00853
AUT,MFG,1977,37.25317
AUT,MFG,1978,38.05083
AUT,MFG,1979,41.04553
AUT,MFG,1980,42.10794
AUT,MFG,1981,41.07647
AUT,MFG,1982,40.62606
AUT,MFG,1983,41.19337
AUT,MFG,1984,43.69296
AUT,MFG,1985,45.18171
AUT,MFG,1986,42.00227
AUT,MFG,1987,41.44411
AUT,MFG,1988,44.19629
AUT,MFG,1989,47.131
AUT,MFG,1990,51.17501
AUT,MFG,1991,52.39613
AUT,MFG,1992,51.91375
AUT,MFG,1993,50.86858
AUT,MFG,1994,54.21562
AUT,MFG,1995,57.62256
AUT,MFG,1996,58.03385
AUT,MFG,1997,62.32408
AUT,MFG,1998,67.94922
AUT,MFG,1999,72.10827
AUT,MFG,2000,79.40783
AUT,MFG,2001,81.0591
AUT,MFG,2002,80.90479
AUT,MFG,2003,82.78754
AUT,MFG,2004,88.81393
AUT,MFG,2005,92.60261
AUT,MFG,2006,99.74013
AUT,MFG,2007,106.0752
AUT,MFG,2008,107.0937
AUT,MFG,2009,93.51312
AUT,MFG,2010,100
AUT,MFG,2011,106.6606
AUT,MFG,2012,106.7439
AUT,MFG,2013,107.6525
AUT,MFG,2014,108.8946
AUT,MFG,2015,111.4622
AUT,MFG,2016,113.7379
AUT,TOT,1955,11.99143
AUT,TOT,1956,12.60234
AUT,TOT,1957,13.3141
AUT,TOT,1958,13.65221
AUT,TOT,1959,14.44466
AUT,TOT,1960,15.97001
AUT,TOT,1961,16.60925
AUT,TOT,1962,17.05734
AUT,TOT,1963,17.85459
AUT,TOT,1964,19.23778
AUT,TOT,1965,20.08162
AUT,TOT,1966,21.01286
AUT,TOT,1967,21.17664
AUT,TOT,1968,22.75193
AUT,TOT,1969,25.3137
AUT,TOT,1970,27.5484
AUT,TOT,1971,29.25049
AUT,TOT,1972,31.57405
AUT,TOT,1973,33.16471
AUT,TOT,1974,34.80003
AUT,TOT,1975,32.63737
AUT,TOT,1976,34.48882
AUT,TOT,1977,35.82925
AUT,TOT,1978,36.82726
AUT,TOT,1979,39.60516
AUT,TOT,1980,40.65695
AUT,TOT,1981,39.9668
AUT,TOT,1982,39.72906
AUT,TOT,1983,40.07006
AUT,TOT,1984,42.16549
AUT,TOT,1985,44.14997
AUT,TOT,1986,44.60911
AUT,TOT,1987,45.04087
AUT,TOT,1988,46.98838
AUT,TOT,1989,49.78644
AUT,TOT,1990,53.33949
AUT,TOT,1991,54.25826
AUT,TOT,1992,53.61037
AUT,TOT,1993,52.73675
AUT,TOT,1994,54.84467
AUT,TOT,1995,57.63264
AUT,TOT,1996,58.19937
AUT,TOT,1997,61.90248
AUT,TOT,1998,66.91302
AUT,TOT,1999,70.91843
AUT,TOT,2000,77.36488
AUT,TOT,2001,79.71523
AUT,TOT,2002,80.25179
AUT,TOT,2003,81.88419
AUT,TOT,2004,86.98542
AUT,TOT,2005,90.72632
AUT,TOT,2006,97.76224
AUT,TOT,2007,103.2489
AUT,TOT,2008,105.244
AUT,TOT,2009,93.51499
AUT,TOT,2010,100
AUT,TOT,2011,105.9578
AUT,TOT,2012,107.6744
AUT,TOT,2013,108.1243
AUT,TOT,2014,108.091
AUT,TOT,2015,110.3825
AUT,TOT,2016,112.5823
BEL,CONSTR,2000,96.54224
BEL,CONSTR,2001,96.1923
BEL,CONSTR,2002,94.77587
BEL,CONSTR,2003,94.92584
BEL,CONSTR,2004,98.50858
BEL,CONSTR,2005,98.46692
BEL,CONSTR,2006,101.7664
BEL,CONSTR,2007,103.866
BEL,CONSTR,2008,105.2325
BEL,CONSTR,2009,101.2165
